"","premisetype","offence","occurrenceyear","occurrencemonth","occurrenceday","occurrencedayofyear","occurrencedayofweek","occurrencehour","Division","Hood_ID","Neighbourhood","Lat","Long","occurrence_ts","ppl_2016","annual_growth_rate","children_2016","youth_2016","working_2016","pre-retirement_2016","seniors_2016","older_2016","ppl_2017","children_2017","youth_2017","working_2017","pre.retirement_2017","seniors_2017","older_2017","ppl_2018","children_2018","youth_2018","working_2018","pre.retirement_2018","seniors_2018","older_2018","ppl_2019","children_2019","youth_2019","working_2019","pre.retirement_2019","seniors_2019","older_2019"
"15","Apartment","Theft Of Motor Vehicle",2016,3,15,75,"Tuesday",12,"D33",52,"Bayview Village (52)",43.7657547,-79.3842926,2016-03-15 12:00:00,21396,0.211,2415,2505,10310,2540,3615,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Apartment","Theft Of Motor Vehicle",2016,3,19,79,"Saturday",14,"D14",79,"University (79)",43.6620178,-79.4072189,2016-03-19 14:00:00,7607,-0.022,565,1485,3590,650,1320,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Apartment","Theft Of Motor Vehicle",2016,3,22,82,"Tuesday",15,"D23",1,"West Humber-Clairville (1)",43.7117043,-79.5667038,2016-03-22 15:00:00,33312,-0.023,5060,5445,13845,3990,4980,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Apartment","Theft Of Motor Vehicle",2016,3,23,83,"Wednesday",4,"D32",27,"York University Heights (27)",43.7664948,-79.4775314,2016-03-23 04:46:00,27593,-0.004,4045,4750,12290,2965,3530,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Apartment","Theft Of Motor Vehicle",2016,3,30,90,"Wednesday",1,"D31",21,"Humber Summit (21)",43.7511597,-79.5666656,2016-03-30 01:00:00,12416,-0.009,2155,1720,4855,1315,2380,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Apartment","Theft Of Motor Vehicle",2016,4,3,94,"Sunday",1,"D51",74,"North St.James Town (74)",43.6688728,-79.3744507,2016-04-03 01:59:00,18615,0.044,2290,2265,10350,1970,1740,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Apartment","Theft Of Motor Vehicle",2016,4,6,97,"Wednesday",22,"D53",39,"Bedford Park-Nortown (39)",43.7184258,-79.4295883,2016-04-06 22:00:00,23236,0.002,4555,3210,8410,3075,3980,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Apartment","Theft Of Motor Vehicle",2016,4,16,107,"Saturday",3,"D41",122,"Birchcliffe-Cliffside (122)",43.6877594,-79.2709198,2016-04-16 03:00:00,22291,0.02,3345,2440,9075,3520,3910,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Apartment","Theft Of Motor Vehicle",2016,4,18,109,"Monday",1,"D31",25,"Glenfield-Jane Heights (25)",43.7393913,-79.5132217,2016-04-18 01:18:00,30491,-0.029,5790,4520,11590,3605,5005,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Apartment","Theft Of Motor Vehicle",2016,4,23,114,"Saturday",6,"D43",139,"Scarborough Village (139)",43.7406616,-79.2178497,2016-04-23 06:30:00,16724,0.007,3365,2360,6685,2095,2225,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Apartment","Theft Of Motor Vehicle",2016,5,8,129,"Sunday",21,"D11",87,"High Park-Swansea (87)",43.6369591,-79.4710464,2016-05-08 21:45:00,23925,0.101,3540,2125,11570,2870,3800,755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Apartment","Theft Of Motor Vehicle",2016,5,8,129,"Sunday",21,"D11",90,"Junction Area (90)",43.6689949,-79.4835663,2016-05-08 21:00:00,14366,0.024,2190,1465,7470,1750,1500,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Apartment","Theft Of Motor Vehicle",2016,5,9,130,"Monday",18,"D54",61,"Taylor-Massey (61)",43.6952782,-79.2923889,2016-05-09 18:30:00,15683,0.006,2950,1690,7580,1750,1705,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Apartment","Theft Of Motor Vehicle",2016,5,11,132,"Wednesday",21,"D32",33,"Clanton Park (33)",43.7405014,-79.440094,2016-05-11 21:15:00,16472,0.127,2765,1910,7470,1935,2375,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Apartment","Theft Of Motor Vehicle",2016,5,12,133,"Thursday",7,"D23",1,"West Humber-Clairville (1)",43.6890106,-79.5822678,2016-05-12 07:15:00,33312,-0.023,5060,5445,13845,3990,4980,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Apartment","Theft Of Motor Vehicle",2016,6,7,159,"Tuesday",22,"D32",35,"Westminster-Branson (35)",43.7895927,-79.4498749,2016-06-07 22:00:00,26274,0.033,3440,3355,10865,3500,5130,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Apartment","Theft Of Motor Vehicle",2016,6,9,161,"Thursday",20,"D32",35,"Westminster-Branson (35)",43.772316,-79.450943,2016-06-09 20:00:00,26274,0.033,3440,3355,10865,3500,5130,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Apartment","Theft Of Motor Vehicle",2016,6,27,179,"Monday",20,"D12",29,"Maple Leaf (29)",43.709774,-79.4818802,2016-06-27 20:00:00,10111,-0.008,1500,1265,4110,1205,2030,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Apartment","Theft Of Motor Vehicle",2016,7,4,186,"Monday",18,"D43",137,"Woburn (137)",43.7639694,-79.2047806,2016-07-04 18:00:00,53485,0.003,9625,7660,21945,6245,8010,1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Apartment","Theft Of Motor Vehicle",2016,7,6,188,"Wednesday",23,"D14",77,"Waterfront Communities-The Island (77)",43.6474762,-79.3986588,2016-07-06 23:00:00,65913,0.52,3650,7840,45105,4680,4635,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Apartment","Theft Of Motor Vehicle",2016,7,10,192,"Sunday",12,"D12",30,"Brookhaven-Amesbury (30)",43.6993141,-79.4759445,2016-07-10 12:00:00,17757,-0.002,3360,2460,7625,2185,2130,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Apartment","Theft Of Motor Vehicle",2016,7,11,193,"Monday",0,"D42",132,"Malvern (132)",43.8149033,-79.2251282,2016-07-11 00:01:00,43794,-0.029,7910,6620,17865,5535,5890,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Apartment","Theft Of Motor Vehicle",2016,7,16,198,"Saturday",0,"D22",16,"Stonegate-Queensway (16)",43.6255836,-79.5060043,2016-07-16 00:00:00,25051,0.015,4060,2495,10660,3660,4165,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Apartment","Theft Of Motor Vehicle",2016,7,17,199,"Sunday",12,"D12",111,"Rockcliffe-Smythe (111)",43.6782761,-79.5065079,2016-07-17 12:30:00,22246,-0.001,3505,2740,9255,3090,3655,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Apartment","Theft Of Motor Vehicle",2016,7,22,204,"Friday",21,"D31",26,"Downsview-Roding-CFB (26)",43.7260895,-79.5226212,2016-07-22 21:00:00,35052,0.011,5725,4340,15045,4380,5535,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Apartment","Theft Of Motor Vehicle",2016,7,26,208,"Tuesday",4,"D13",107,"Oakwood Village (107)",43.6930504,-79.4467163,2016-07-26 04:00:00,21210,0.007,3130,2275,9535,2590,3700,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Apartment","Theft Of Motor Vehicle",2016,7,26,208,"Tuesday",14,"D23",2,"Mount Olive-Silverstone-Jamestown (2)",43.7325096,-79.5864182,2016-07-26 14:27:00,32954,0.005,7090,5240,13615,3475,3560,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Apartment","Theft Of Motor Vehicle",2016,7,31,213,"Sunday",9,"D12",111,"Rockcliffe-Smythe (111)",43.6791382,-79.4962997,2016-07-31 09:00:00,22246,-0.001,3505,2740,9255,3090,3655,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Apartment","Theft Of Motor Vehicle",2016,8,5,218,"Friday",18,"D31",22,"Humbermede (22)",43.7520943,-79.5423813,2016-08-05 18:30:00,15545,-0.019,2945,2225,6445,1760,2160,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Apartment","Theft Of Motor Vehicle",2016,8,11,224,"Thursday",0,"D32",35,"Westminster-Branson (35)",43.7819443,-79.4504242,2016-08-11 00:00:00,26274,0.033,3440,3355,10865,3500,5130,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Apartment","Theft Of Motor Vehicle",2016,8,19,232,"Friday",18,"D51",74,"North St.James Town (74)",43.6696587,-79.3757858,2016-08-19 18:30:00,18615,0.044,2290,2265,10350,1970,1740,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Apartment","Theft Of Motor Vehicle",2016,8,20,233,"Saturday",14,"D12",111,"Rockcliffe-Smythe (111)",43.6774788,-79.5064087,2016-08-20 14:00:00,22246,-0.001,3505,2740,9255,3090,3655,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Apartment","Theft Of Motor Vehicle",2016,8,22,235,"Monday",15,"D43",136,"West Hill (136)",43.7676544,-79.1896133,2016-08-22 15:00:00,27392,0.032,4635,3950,10765,3785,4240,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Apartment","Theft Of Motor Vehicle",2016,8,26,239,"Friday",4,"D12",111,"Rockcliffe-Smythe (111)",43.6780281,-79.4965057,2016-08-26 04:20:00,22246,-0.001,3505,2740,9255,3090,3655,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Apartment","Theft Of Motor Vehicle",2016,9,1,245,"Thursday",23,"D54",44,"Flemingdon Park (44)",43.7121544,-79.3246155,2016-09-01 23:40:00,21933,-0.011,4385,3060,9185,2335,2980,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Apartment","Theft Of Motor Vehicle",2016,9,3,247,"Saturday",1,"D23",6,"Kingsview Village-The Westway (6)",43.695816,-79.5627365,2016-09-03 01:44:00,22000,0.013,4240,3020,8635,2550,3585,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Apartment","Theft Of Motor Vehicle",2016,9,10,254,"Saturday",9,"D14",85,"South Parkdale (85)",43.6377449,-79.4332809,2016-09-10 09:00:00,21849,0.028,2115,2275,12440,2475,2540,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Apartment","Theft Of Motor Vehicle",2016,9,11,255,"Sunday",10,"D11",88,"High Park North (88)",43.6563339,-79.4682236,2016-09-11 10:28:00,22162,0.041,2850,1890,11660,2585,3180,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
