"IDNgrid","IDgrid","n"
"580","(43.811,43.818].(-79.33,-79.32]",21
"581","(43.818,43.824].(-79.33,-79.32]",10
"582","(43.66,43.666].(-79.32,-79.3]",15
"583","(43.666,43.673].(-79.32,-79.3]",24
"584","(43.673,43.68].(-79.32,-79.3]",23
"585","(43.68,43.686].(-79.32,-79.3]",35
"586","(43.686,43.693].(-79.32,-79.3]",15
"587","(43.693,43.699].(-79.32,-79.3]",8
"588","(43.699,43.706].(-79.32,-79.3]",4
"589","(43.706,43.712].(-79.32,-79.3]",12
"59","(43.633,43.64].(-79.57,-79.56]",32
"590","(43.712,43.719].(-79.32,-79.3]",14
"591","(43.719,43.726].(-79.32,-79.3]",8
"592","(43.726,43.732].(-79.32,-79.3]",14
"593","(43.732,43.739].(-79.32,-79.3]",20
"594","(43.739,43.745].(-79.32,-79.3]",31
"595","(43.745,43.752].(-79.32,-79.3]",22
"596","(43.752,43.759].(-79.32,-79.3]",17
"597","(43.759,43.765].(-79.32,-79.3]",22
"598","(43.765,43.772].(-79.32,-79.3]",10
"599","(43.772,43.778].(-79.32,-79.3]",25
"6","(43.745,43.752].(-79.63,-79.61]",35
"60","(43.64,43.647].(-79.57,-79.56]",14
"600","(43.778,43.785].(-79.32,-79.3]",16
"601","(43.785,43.792].(-79.32,-79.3]",11
"602","(43.792,43.798].(-79.32,-79.3]",17
"603","(43.798,43.805].(-79.32,-79.3]",15
"604","(43.805,43.811].(-79.32,-79.3]",21
"605","(43.811,43.818].(-79.32,-79.3]",33
"606","(43.818,43.824].(-79.32,-79.3]",36
"607","(43.66,43.666].(-79.3,-79.29]",1
"608","(43.666,43.673].(-79.3,-79.29]",19
"609","(43.673,43.68].(-79.3,-79.29]",24
"61","(43.647,43.653].(-79.57,-79.56]",37
"610","(43.68,43.686].(-79.3,-79.29]",31
"611","(43.686,43.693].(-79.3,-79.29]",47
"612","(43.693,43.699].(-79.3,-79.29]",31
"613","(43.699,43.706].(-79.3,-79.29]",26
"614","(43.706,43.712].(-79.3,-79.29]",27
"615","(43.712,43.719].(-79.3,-79.29]",16
"616","(43.719,43.726].(-79.3,-79.29]",34
"617","(43.726,43.732].(-79.3,-79.29]",23
"618","(43.732,43.739].(-79.3,-79.29]",10
"619","(43.739,43.745].(-79.3,-79.29]",34
"62","(43.653,43.66].(-79.57,-79.56]",27
"620","(43.745,43.752].(-79.3,-79.29]",17
"621","(43.752,43.759].(-79.3,-79.29]",18
"622","(43.759,43.765].(-79.3,-79.29]",67
"623","(43.765,43.772].(-79.3,-79.29]",20
"624","(43.772,43.778].(-79.3,-79.29]",7
"625","(43.778,43.785].(-79.3,-79.29]",37
"626","(43.785,43.792].(-79.3,-79.29]",7
"627","(43.792,43.798].(-79.3,-79.29]",9
"628","(43.798,43.805].(-79.3,-79.29]",16
"629","(43.805,43.811].(-79.3,-79.29]",14
"63","(43.66,43.666].(-79.57,-79.56]",13
"630","(43.811,43.818].(-79.3,-79.29]",5
"631","(43.818,43.824].(-79.3,-79.29]",23
"632","(43.824,43.831].(-79.3,-79.29]",15
"633","(43.666,43.673].(-79.29,-79.28]",13
"634","(43.673,43.68].(-79.29,-79.28]",21
"635","(43.68,43.686].(-79.29,-79.28]",24
"636","(43.686,43.693].(-79.29,-79.28]",39
"637","(43.693,43.699].(-79.29,-79.28]",38
"638","(43.699,43.706].(-79.29,-79.28]",20
"639","(43.706,43.712].(-79.29,-79.28]",8
"64","(43.666,43.673].(-79.57,-79.56]",16
"640","(43.712,43.719].(-79.29,-79.28]",15
"641","(43.719,43.726].(-79.29,-79.28]",62
"642","(43.726,43.732].(-79.29,-79.28]",60
"643","(43.732,43.739].(-79.29,-79.28]",27
"644","(43.739,43.745].(-79.29,-79.28]",11
"645","(43.745,43.752].(-79.29,-79.28]",36
"646","(43.752,43.759].(-79.29,-79.28]",17
"647","(43.759,43.765].(-79.29,-79.28]",40
"648","(43.765,43.772].(-79.29,-79.28]",85
"649","(43.772,43.778].(-79.29,-79.28]",21
"65","(43.673,43.68].(-79.57,-79.56]",41
"650","(43.778,43.785].(-79.29,-79.28]",33
"651","(43.785,43.792].(-79.29,-79.28]",21
"652","(43.792,43.798].(-79.29,-79.28]",16
"653","(43.798,43.805].(-79.29,-79.28]",16
"654","(43.805,43.811].(-79.29,-79.28]",21
"655","(43.811,43.818].(-79.29,-79.28]",20
"656","(43.818,43.824].(-79.29,-79.28]",34
"657","(43.824,43.831].(-79.29,-79.28]",21
"658","(43.673,43.68].(-79.28,-79.27]",11
"659","(43.68,43.686].(-79.28,-79.27]",3
"66","(43.68,43.686].(-79.57,-79.56]",33
"660","(43.686,43.693].(-79.28,-79.27]",9
"661","(43.693,43.699].(-79.28,-79.27]",24
"662","(43.699,43.706].(-79.28,-79.27]",20
"663","(43.706,43.712].(-79.28,-79.27]",25
"664","(43.712,43.719].(-79.28,-79.27]",13
"665","(43.719,43.726].(-79.28,-79.27]",7
"666","(43.726,43.732].(-79.28,-79.27]",20
"667","(43.732,43.739].(-79.28,-79.27]",18
"668","(43.739,43.745].(-79.28,-79.27]",9
"669","(43.745,43.752].(-79.28,-79.27]",52
"67","(43.686,43.693].(-79.57,-79.56]",45
"670","(43.752,43.759].(-79.28,-79.27]",25
"671","(43.759,43.765].(-79.28,-79.27]",23
"672","(43.765,43.772].(-79.28,-79.27]",21
"673","(43.772,43.778].(-79.28,-79.27]",6
"674","(43.778,43.785].(-79.28,-79.27]",11
"675","(43.785,43.792].(-79.28,-79.27]",14
"676","(43.792,43.798].(-79.28,-79.27]",3
"677","(43.798,43.805].(-79.28,-79.27]",19
"678","(43.805,43.811].(-79.28,-79.27]",31
"679","(43.811,43.818].(-79.28,-79.27]",25
"68","(43.693,43.699].(-79.57,-79.56]",20
"680","(43.818,43.824].(-79.28,-79.27]",24
"681","(43.824,43.831].(-79.28,-79.27]",27
"682","(43.831,43.838].(-79.28,-79.27]",9
"683","(43.686,43.693].(-79.27,-79.25]",3
"684","(43.693,43.699].(-79.27,-79.25]",20
"685","(43.699,43.706].(-79.27,-79.25]",18
"686","(43.706,43.712].(-79.27,-79.25]",13
"687","(43.712,43.719].(-79.27,-79.25]",18
"688","(43.719,43.726].(-79.27,-79.25]",26
"689","(43.726,43.732].(-79.27,-79.25]",19
"69","(43.699,43.706].(-79.57,-79.56]",38
"690","(43.732,43.739].(-79.27,-79.25]",59
"691","(43.739,43.745].(-79.27,-79.25]",6
"692","(43.745,43.752].(-79.27,-79.25]",31
"693","(43.752,43.759].(-79.27,-79.25]",52
"694","(43.759,43.765].(-79.27,-79.25]",8
"695","(43.765,43.772].(-79.27,-79.25]",22
"696","(43.772,43.778].(-79.27,-79.25]",119
"697","(43.778,43.785].(-79.27,-79.25]",6
"698","(43.785,43.792].(-79.27,-79.25]",35
"699","(43.792,43.798].(-79.27,-79.25]",15
"7","(43.752,43.759].(-79.63,-79.61]",48
"70","(43.706,43.712].(-79.57,-79.56]",97
"700","(43.798,43.805].(-79.27,-79.25]",12
"701","(43.805,43.811].(-79.27,-79.25]",29
"702","(43.811,43.818].(-79.27,-79.25]",10
"703","(43.818,43.824].(-79.27,-79.25]",25
"704","(43.824,43.831].(-79.27,-79.25]",11
"705","(43.831,43.838].(-79.27,-79.25]",7
"706","(43.699,43.706].(-79.25,-79.24]",7
"707","(43.706,43.712].(-79.25,-79.24]",18
"708","(43.712,43.719].(-79.25,-79.24]",6
"709","(43.719,43.726].(-79.25,-79.24]",9
"71","(43.712,43.719].(-79.57,-79.56]",59
"710","(43.726,43.732].(-79.25,-79.24]",22
"711","(43.732,43.739].(-79.25,-79.24]",38
"712","(43.739,43.745].(-79.25,-79.24]",18
"713","(43.745,43.752].(-79.25,-79.24]",14
"714","(43.752,43.759].(-79.25,-79.24]",13
"715","(43.759,43.765].(-79.25,-79.24]",5
"716","(43.765,43.772].(-79.25,-79.24]",13
"717","(43.772,43.778].(-79.25,-79.24]",32
"718","(43.778,43.785].(-79.25,-79.24]",13
"719","(43.785,43.792].(-79.25,-79.24]",13
"72","(43.719,43.726].(-79.57,-79.56]",47
"720","(43.792,43.798].(-79.25,-79.24]",28
"721","(43.798,43.805].(-79.25,-79.24]",1
"722","(43.805,43.811].(-79.25,-79.24]",3
"723","(43.811,43.818].(-79.25,-79.24]",16
"724","(43.818,43.824].(-79.25,-79.24]",41
"725","(43.824,43.831].(-79.25,-79.24]",7
"726","(43.831,43.838].(-79.25,-79.24]",23
"727","(43.706,43.712].(-79.24,-79.23]",13
"728","(43.712,43.719].(-79.24,-79.23]",11
"729","(43.719,43.726].(-79.24,-79.23]",19
"73","(43.726,43.732].(-79.57,-79.56]",36
"730","(43.726,43.732].(-79.24,-79.23]",9
"731","(43.732,43.739].(-79.24,-79.23]",11
"732","(43.739,43.745].(-79.24,-79.23]",40
"733","(43.745,43.752].(-79.24,-79.23]",12
"734","(43.752,43.759].(-79.24,-79.23]",17
"735","(43.759,43.765].(-79.24,-79.23]",19
"736","(43.765,43.772].(-79.24,-79.23]",9
"737","(43.772,43.778].(-79.24,-79.23]",26
"738","(43.778,43.785].(-79.24,-79.23]",24
"739","(43.785,43.792].(-79.24,-79.23]",8
"74","(43.732,43.739].(-79.57,-79.56]",32
"740","(43.792,43.798].(-79.24,-79.23]",20
"741","(43.798,43.805].(-79.24,-79.23]",11
"742","(43.805,43.811].(-79.24,-79.23]",27
"743","(43.811,43.818].(-79.24,-79.23]",23
"744","(43.818,43.824].(-79.24,-79.23]",13
"745","(43.824,43.831].(-79.24,-79.23]",12
"746","(43.831,43.838].(-79.24,-79.23]",6
"747","(43.838,43.844].(-79.24,-79.23]",3
"748","(43.726,43.732].(-79.23,-79.21]",3
"749","(43.732,43.739].(-79.23,-79.21]",15
"75","(43.739,43.745].(-79.57,-79.56]",31
"750","(43.739,43.745].(-79.23,-79.21]",54
"751","(43.745,43.752].(-79.23,-79.21]",14
"752","(43.752,43.759].(-79.23,-79.21]",9
"753","(43.759,43.765].(-79.23,-79.21]",20
"754","(43.765,43.772].(-79.23,-79.21]",9
"755","(43.772,43.778].(-79.23,-79.21]",5
"756","(43.778,43.785].(-79.23,-79.21]",2
"757","(43.785,43.792].(-79.23,-79.21]",4
"758","(43.792,43.798].(-79.23,-79.21]",16
"759","(43.798,43.805].(-79.23,-79.21]",25
"76","(43.745,43.752].(-79.57,-79.56]",51
"760","(43.805,43.811].(-79.23,-79.21]",31
"761","(43.811,43.818].(-79.23,-79.21]",24
"762","(43.818,43.824].(-79.23,-79.21]",13
"763","(43.824,43.831].(-79.23,-79.21]",6
"764","(43.831,43.838].(-79.23,-79.21]",2
"765","(43.732,43.739].(-79.21,-79.2]",1
"766","(43.739,43.745].(-79.21,-79.2]",17
"767","(43.745,43.752].(-79.21,-79.2]",16
"768","(43.752,43.759].(-79.21,-79.2]",1
"769","(43.759,43.765].(-79.21,-79.2]",34
"77","(43.752,43.759].(-79.57,-79.56]",69
"770","(43.765,43.772].(-79.21,-79.2]",5
"771","(43.772,43.778].(-79.21,-79.2]",6
"772","(43.778,43.785].(-79.21,-79.2]",13
"773","(43.785,43.792].(-79.21,-79.2]",19
"774","(43.792,43.798].(-79.21,-79.2]",22
"775","(43.798,43.805].(-79.21,-79.2]",28
"776","(43.805,43.811].(-79.21,-79.2]",15
"777","(43.811,43.818].(-79.21,-79.2]",23
"778","(43.818,43.824].(-79.21,-79.2]",21
"779","(43.824,43.831].(-79.21,-79.2]",1
"78","(43.759,43.765].(-79.57,-79.56]",78
"780","(43.844,43.851].(-79.21,-79.2]",1
"781","(43.739,43.745].(-79.2,-79.19]",3
"782","(43.745,43.752].(-79.2,-79.19]",2
"783","(43.752,43.759].(-79.2,-79.19]",30
"784","(43.759,43.765].(-79.2,-79.19]",29
"785","(43.765,43.772].(-79.2,-79.19]",16
"786","(43.772,43.778].(-79.2,-79.19]",2
"787","(43.778,43.785].(-79.2,-79.19]",6
"788","(43.785,43.792].(-79.2,-79.19]",7
"789","(43.792,43.798].(-79.2,-79.19]",9
"79","(43.765,43.772].(-79.57,-79.56]",6
"790","(43.798,43.805].(-79.2,-79.19]",10
"791","(43.805,43.811].(-79.2,-79.19]",4
"792","(43.811,43.818].(-79.2,-79.19]",2
"793","(43.818,43.824].(-79.2,-79.19]",2
"794","(43.844,43.851].(-79.2,-79.19]",1
"795","(43.759,43.765].(-79.19,-79.18]",15
"796","(43.765,43.772].(-79.19,-79.18]",19
"797","(43.772,43.778].(-79.19,-79.18]",13
"798","(43.778,43.785].(-79.19,-79.18]",4
"799","(43.785,43.792].(-79.19,-79.18]",11
"8","(43.647,43.653].(-79.61,-79.6]",10
"80","(43.594,43.601].(-79.56,-79.55]",3
"800","(43.792,43.798].(-79.19,-79.18]",25
"801","(43.798,43.805].(-79.19,-79.18]",19
"802","(43.805,43.811].(-79.19,-79.18]",24
"803","(43.811,43.818].(-79.19,-79.18]",1
"804","(43.818,43.824].(-79.19,-79.18]",1
"805","(43.759,43.765].(-79.18,-79.16]",3
"806","(43.765,43.772].(-79.18,-79.16]",2
"807","(43.772,43.778].(-79.18,-79.16]",10
"808","(43.778,43.785].(-79.18,-79.16]",16
"809","(43.785,43.792].(-79.18,-79.16]",9
"81","(43.601,43.607].(-79.56,-79.55]",5
"810","(43.792,43.798].(-79.18,-79.16]",16
"811","(43.798,43.805].(-79.18,-79.16]",6
"812","(43.805,43.811].(-79.18,-79.16]",25
"813","(43.838,43.844].(-79.18,-79.16]",1
"814","(43.765,43.772].(-79.16,-79.15]",8
"815","(43.772,43.778].(-79.16,-79.15]",3
"816","(43.778,43.785].(-79.16,-79.15]",2
"817","(43.785,43.792].(-79.16,-79.15]",12
"818","(43.792,43.798].(-79.16,-79.15]",23
"819","(43.798,43.805].(-79.16,-79.15]",12
"82","(43.607,43.614].(-79.56,-79.55]",33
"820","(43.805,43.811].(-79.16,-79.15]",1
"821","(43.772,43.778].(-79.15,-79.14]",7
"822","(43.778,43.785].(-79.15,-79.14]",4
"823","(43.785,43.792].(-79.15,-79.14]",8
"824","(43.792,43.798].(-79.15,-79.14]",9
"825","(43.798,43.805].(-79.15,-79.14]",4
"826","(43.778,43.785].(-79.14,-79.12]",33
"827","(43.785,43.792].(-79.14,-79.12]",8
"828","(43.792,43.798].(-79.14,-79.12]",3
"829","(43.798,43.805].(-79.14,-79.12]",1
"83","(43.614,43.62].(-79.56,-79.55]",41
"84","(43.62,43.627].(-79.56,-79.55]",21
"85","(43.627,43.633].(-79.56,-79.55]",23
"86","(43.633,43.64].(-79.56,-79.55]",19
"87","(43.64,43.647].(-79.56,-79.55]",27
"88","(43.647,43.653].(-79.56,-79.55]",14
"89","(43.653,43.66].(-79.56,-79.55]",27
"9","(43.686,43.693].(-79.61,-79.6]",33
"90","(43.66,43.666].(-79.56,-79.55]",11
"91","(43.666,43.673].(-79.56,-79.55]",16
"92","(43.673,43.68].(-79.56,-79.55]",48
"93","(43.68,43.686].(-79.56,-79.55]",31
"94","(43.686,43.693].(-79.56,-79.55]",29
"95","(43.693,43.699].(-79.56,-79.55]",75
"96","(43.699,43.706].(-79.56,-79.55]",39
"97","(43.706,43.712].(-79.56,-79.55]",11
"98","(43.712,43.719].(-79.56,-79.55]",84
"99","(43.719,43.726].(-79.56,-79.55]",31
