"IDNgrid","IDgrid","n"
"196","(43.62,43.627].(-79.51,-79.5]",24
"197","(43.627,43.633].(-79.51,-79.5]",6
"198","(43.633,43.64].(-79.51,-79.5]",7
"199","(43.64,43.647].(-79.51,-79.5]",23
"2","(43.719,43.726].(-79.63,-79.61]",78
"20","(43.666,43.673].(-79.6,-79.59]",13
"200","(43.647,43.653].(-79.51,-79.5]",27
"201","(43.653,43.66].(-79.51,-79.5]",25
"202","(43.66,43.666].(-79.51,-79.5]",20
"203","(43.666,43.673].(-79.51,-79.5]",12
"204","(43.673,43.68].(-79.51,-79.5]",26
"205","(43.68,43.686].(-79.51,-79.5]",13
"206","(43.686,43.693].(-79.51,-79.5]",50
"207","(43.693,43.699].(-79.51,-79.5]",70
"208","(43.699,43.706].(-79.51,-79.5]",79
"209","(43.706,43.712].(-79.51,-79.5]",38
"21","(43.673,43.68].(-79.6,-79.59]",7
"210","(43.712,43.719].(-79.51,-79.5]",40
"211","(43.719,43.726].(-79.51,-79.5]",87
"212","(43.726,43.732].(-79.51,-79.5]",27
"213","(43.732,43.739].(-79.51,-79.5]",14
"214","(43.739,43.745].(-79.51,-79.5]",32
"215","(43.745,43.752].(-79.51,-79.5]",31
"216","(43.752,43.759].(-79.51,-79.5]",15
"217","(43.759,43.765].(-79.51,-79.5]",92
"218","(43.765,43.772].(-79.51,-79.5]",21
"219","(43.772,43.778].(-79.51,-79.5]",11
"22","(43.68,43.686].(-79.6,-79.59]",22
"220","(43.601,43.607].(-79.5,-79.48]",4
"221","(43.607,43.614].(-79.5,-79.48]",22
"222","(43.614,43.62].(-79.5,-79.48]",32
"223","(43.62,43.627].(-79.5,-79.48]",30
"224","(43.627,43.633].(-79.5,-79.48]",30
"225","(43.633,43.64].(-79.5,-79.48]",24
"226","(43.64,43.647].(-79.5,-79.48]",9
"227","(43.647,43.653].(-79.5,-79.48]",15
"228","(43.653,43.66].(-79.5,-79.48]",31
"229","(43.66,43.666].(-79.5,-79.48]",34
"23","(43.686,43.693].(-79.6,-79.59]",109
"230","(43.666,43.673].(-79.5,-79.48]",72
"231","(43.673,43.68].(-79.5,-79.48]",28
"232","(43.68,43.686].(-79.5,-79.48]",26
"233","(43.686,43.693].(-79.5,-79.48]",42
"234","(43.693,43.699].(-79.5,-79.48]",35
"235","(43.699,43.706].(-79.5,-79.48]",23
"236","(43.706,43.712].(-79.5,-79.48]",18
"237","(43.712,43.719].(-79.5,-79.48]",16
"238","(43.719,43.726].(-79.5,-79.48]",18
"239","(43.726,43.732].(-79.5,-79.48]",32
"24","(43.693,43.699].(-79.6,-79.59]",14
"240","(43.732,43.739].(-79.5,-79.48]",30
"241","(43.739,43.745].(-79.5,-79.48]",60
"242","(43.745,43.752].(-79.5,-79.48]",26
"243","(43.752,43.759].(-79.5,-79.48]",66
"244","(43.759,43.765].(-79.5,-79.48]",68
"245","(43.765,43.772].(-79.5,-79.48]",20
"246","(43.772,43.778].(-79.5,-79.48]",27
"247","(43.778,43.785].(-79.5,-79.48]",15
"248","(43.62,43.627].(-79.48,-79.47]",39
"249","(43.627,43.633].(-79.48,-79.47]",10
"25","(43.699,43.706].(-79.6,-79.59]",9
"250","(43.633,43.64].(-79.48,-79.47]",4
"251","(43.64,43.647].(-79.48,-79.47]",13
"252","(43.647,43.653].(-79.48,-79.47]",40
"253","(43.653,43.66].(-79.48,-79.47]",45
