"IDNgrid","Hood_ID","n"
"310",26,5
"310",31,1
"310",33,4
"311",26,1
"311",33,95
"312",33,14
"313",26,3
"313",33,21
"313",34,1
"314",33,2
"314",34,27
"315",34,30
"316",34,14
"317",35,20
"318",35,52
"319",35,31
"319",36,9
"32",1,11
"32",2,27
"320",35,1
"321",85,1
"322",85,39
"322",86,26
"323",84,2
"323",85,10
"323",86,28
"324",83,11
"324",84,13
"324",86,9
"325",83,26
"325",93,7
"326",83,3
"326",93,47
"327",92,2
"327",93,38
"328",92,26
"328",93,4
"328",94,5
"328",107,1
"329",92,4
"329",94,3
"329",107,26
"33",1,4
"33",2,94
"330",107,43
"331",102,1
"331",106,5
"331",107,35
"331",108,10
"332",31,4
"332",102,16
"332",108,33
"333",31,10
"333",32,16
"333",102,1
"334",32,21
"335",31,2
"335",32,46
"336",32,24
"336",33,1
"337",32,2
"337",33,31
"337",38,1
"338",33,37
"338",38,7
"339",33,23
"339",38,4
"34",2,14
"340",33,7
"340",34,26
"340",38,1
"341",34,8
"341",37,3
"342",35,5
"342",37,11
"343",35,8
"343",36,10
"343",37,7
"344",35,5
"344",36,14
"345",35,9
"345",36,10
"346",35,3
"346",36,18
"347",82,4
"348",82,2
"348",85,40
"349",81,1
"349",82,3
"349",84,34
"349",85,9
"349",86,1
"35",12,19
"350",81,11
"350",83,3
"350",84,25
"351",80,18
"351",81,3
"351",83,13
"351",84,1
"352",80,15
"352",83,2
"352",93,22
"353",93,22
"353",94,6
"354",94,28
"355",94,16
"355",106,26
"355",107,2
"356",101,3
"356",106,23
"356",107,7
"357",101,7
"357",106,28
"358",101,3
"358",102,36
"358",106,8
"359",32,18
"359",39,13
"359",102,16
"36",11,2
"36",12,11
"360",32,12
"360",39,35
"360",103,6
"361",32,9
"361",39,25
"362",32,8
"362",39,40
"363",32,1
"363",39,39
"364",38,43
"364",39,6
"365",38,8
"366",38,14
"367",38,2
"368",37,11
"369",36,2
"369",37,15
"37",11,9
"37",12,7
"370",36,17
"371",36,30
"372",36,17
"373",82,10
"374",82,28
"374",85,1
"375",81,7
"375",82,29
"376",81,32
"377",80,18
"377",81,43
"378",79,12
"378",80,26
"378",95,6
"379",93,3
"379",95,25
"38",11,13
"38",13,4
"380",94,1
"380",95,17
"380",96,10
"381",94,13
"381",96,8
"381",101,2
"382",101,14
"382",106,1
"383",101,34
"384",100,3
"384",101,9
"384",102,1
"384",103,5
"385",39,3
"385",102,13
"385",103,35
"386",39,1
"386",103,30
"387",39,19
"387",103,1
"387",105,11
"388",39,9
"388",105,33
"389",39,30
"389",105,15
"39",11,33
"390",39,8
"391",39,3
"392",38,16
"392",51,5
"393",38,28
"393",51,21
"394",37,14
"394",38,9
"394",51,18
"395",37,10
"395",51,36
"396",36,90
"396",37,16
"396",50,14
"396",51,7
"397",36,10
"397",50,13
"398",36,20
"398",50,11
"399",82,5
"4",1,49
"40",11,14
"400",77,11
"400",82,30
"401",77,48
"401",82,19
"402",77,32
"402",78,46
"402",81,19
"402",82,10
"403",78,71
"403",79,14
"403",80,1
"403",81,8
"404",79,17
"404",95,3
"405",79,6
"405",95,16
"406",95,23
"406",96,7
"407",96,7
"407",97,6
"408",96,5
"408",97,5
"408",101,1
"409",97,4
"409",100,7
"409",104,4
"41",11,2
"410",100,14
"410",104,5
"411",100,23
"411",103,1
"411",104,3
"412",99,2
"412",100,1
"412",103,18
"413",103,18
"413",105,4
"414",103,1
"414",105,47
"415",41,2
"415",105,15
"416",39,15
"416",40,7
"416",41,6
"417",40,16
"418",40,13
"418",51,7
"419",51,18
"42",1,2
"420",51,18
"421",51,25
"422",50,3
"422",51,16
"423",50,5
"424",50,12
"425",49,1
"425",50,6
