"IDNgrid","Division","n"
"366","D32",14
"367","D32",2
"368","D32",11
"369","D32",17
"37","D22",16
"370","D32",17
"371","D32",30
"372","D32",17
"373","D14",10
"374","D14",29
"375","D14",36
"376","D14",32
"377","D14",61
"378","D14",44
"379","D14",28
"38","D22",17
"380","D13",11
"380","D14",17
"381","D13",22
"381","D53",1
"382","D13",12
"382","D53",3
"383","D13",15
"383","D53",19
"384","D13",3
"384","D53",15
"385","D53",51
"386","D53",31
"387","D32",23
"387","D53",8
"388","D32",42
"389","D32",45
"39","D22",33
"390","D32",8
"391","D32",3
"392","D32",21
"393","D32",49
"394","D32",41
"395","D32",46
"396","D32",127
"397","D32",23
"398","D32",31
"399","D14",5
"4","D23",49
"40","D22",14
"400","D14",41
"401","D14",66
"401","D52",1
"402","D14",86
"402","D52",21
"403","D14",58
"403","D52",36
"404","D14",18
"404","D52",2
"405","D14",8
"405","D52",1
"405","D53",13
"406","D14",1
"406","D53",29
"407","D53",13
"408","D53",11
"409","D53",15
"41","D22",2
"410","D53",19
"411","D53",27
"412","D53",21
"413","D32",4
"413","D53",18
"414","D32",47
"414","D53",1
"415","D32",17
"416","D32",28
"417","D32",16
"418","D32",20
"419","D32",18
"42","D23",2
"420","D32",18
"421","D32",25
"422","D32",19
"423","D32",5
"424","D32",12
"425","D32",6
"425","D33",1
"426","D14",2
"426","D52",12
"427","D14",12
"427","D52",81
"428","D52",65
"429","D51",1
"429","D52",57
"43","D23",9
"430","D51",16
"430","D52",26
"431","D51",19
"431","D52",21
"431","D53",31
"432","D53",20
"433","D53",13
"434","D53",16
"435","D53",6
"436","D53",24
"437","D53",34
"438","D53",9
"439","D53",11
"44","D23",194
"440","D32",5
"440","D53",5
"441","D32",1
"442","D32",3
"443","D32",7
"443","D33",2
"444","D32",12
"444","D33",2
"445","D32",8
"445","D33",7
"446","D32",9
"446","D33",19
"447","D32",7
"447","D33",2
"448","D32",4
"448","D33",10
"449","D33",21
"45","D23",15
"450","D32",1
"450","D33",21
"451","D33",7
"452","D33",1
"453","D52",6
"454","D51",10
"454","D52",25
"455","D51",76
"455","D52",20
"456","D51",123
"456","D52",18
"457","D51",97
"458","D51",116
"458","D53",2
"459","D53",10
"46","D23",37
"460","D53",12
"461","D53",21
"462","D53",12
"463","D53",22
"464","D53",13
"465","D53",13
"466","D53",9
"467","D32",1
"468","D33",1
"469","D33",7
"47","D23",32
"470","D33",11
"471","D33",8
"472","D33",17
"473","D33",8
"474","D33",3
"475","D33",3
"476","D33",7
"477","D33",18
"478","D33",5
"479","D51",3
"48","D23",85
"480","D51",36
"481","D51",72
"482","D51",68
"483","D51",10
"484","D53",2
"484","D54",11
"484","D55",3
"485","D53",1
"485","D54",7
"486","D53",5
"487","D53",8
"488","D53",28
"489","D53",10
"49","D23",30
"490","D53",20
"491","D33",2
"492","D33",4
"493","D33",13
"494","D33",17
"495","D33",5
"496","D33",40
"497","D33",10
"498","D33",16
"499","D33",36
"5","D23",23
"50","D23",28
"500","D33",21
"501","D33",22
"502","D33",10
"503","D33",1
"504","D51",4
"505","D51",18
"506","D51",5
"506","D55",1
"507","D51",7
"507","D55",24
"508","D51",2
"508","D55",31
"509","D55",19
"51","D23",51
"510","D54",21
"510","D55",21
"511","D54",26
"512","D54",26
"513","D54",11
"514","D53",26
"515","D53",11
"516","D33",9
"516","D53",2
"517","D33",5
"518","D33",19
"519","D33",5
"52","D23",37
"520","D33",8
"521","D33",4
"522","D33",20
"523","D33",28
"524","D33",95
"525","D33",23
"526","D33",12
"527","D33",20
"528","D33",27
"529","D33",4
"53","D23",60
"530","D51",2
"530","D55",1
"531","D55",1
"532","D55",15
"533","D55",23
"534","D55",38
"535","D54",2
"535","D55",10
"536","D54",37
"536","D55",21
"537","D54",16
"538","D54",10
"539","D53",3
"539","D54",10
"54","D23",18
"54","D31",6
"540","D54",17
"541","D33",5
"541","D54",5
"542","D33",10
"543","D33",4
"544","D33",4
"545","D33",4
"546","D33",17
"547","D33",20
"548","D33",11
"549","D33",30
"55","D23",1
"55","D31",5
"550","D33",17
"551","D33",14
"552","D33",21
"552","D42",1
"553","D33",9
"553","D42",4
"554","D33",2
"554","D42",4
"555","D33",2
"555","D42",9
"556","D55",2
"557","D55",18
"558","D55",38
"559","D55",30
"56","D22",9
"560","D54",10
"560","D55",16
"561","D54",14
"562","D54",7
"563","D54",3
"564","D54",10
"565","D54",11
"566","D33",4
"567","D33",16
"568","D33",2
"569","D33",14
"57","D22",10
"570","D33",10
"571","D33",11
"572","D33",34
"572","D41",2
"573","D33",9
"573","D42",1
"574","D33",7
"574","D42",15
"575","D33",5
"575","D42",17
"576","D33",6
"576","D42",10
"577","D42",29
"578","D42",12
"579","D42",32
"58","D22",19
"580","D42",21
"581","D42",10
"582","D55",15
"583","D55",24
"584","D55",23
"585","D54",9
"585","D55",26
"586","D54",12
"586","D55",3
"587","D54",8
"588","D54",4
"589","D54",12
"59","D22",32
"590","D54",14
"591","D33",1
"591","D54",7
"592","D33",12
"592","D41",1
"592","D54",1
"593","D33",14
"593","D41",6
"594","D33",24
"594","D41",7
"595","D33",15
"595","D41",7
"596","D33",4
"596","D41",13
"597","D33",1
"597","D41",21
"598","D41",3
"598","D42",7
"599","D42",25
"6","D23",35
"60","D22",14
"600","D42",16
"601","D42",11
"602","D42",17
"603","D42",15
"604","D42",21
"605","D42",33
"606","D42",36
"607","D55",1
"608","D55",19
"609","D55",24
"61","D22",37
"610","D55",31
"611","D54",25
"611","D55",22
"612","D54",31
"613","D41",5
"613","D54",21
"614","D41",8
"614","D54",19
"615","D41",5
"615","D54",11
"616","D33",4
"616","D41",18
"616","D54",12
"617","D33",6
"617","D41",17
"618","D41",10
"619","D41",34
"62","D22",27
"620","D41",17
"621","D41",18
"622","D41",67
"623","D41",20
"624","D42",7
"625","D42",37
"626","D42",7
"627","D42",9
"628","D42",16
"629","D42",14
"63","D22",13
"630","D42",5
"631","D42",23
"632","D42",15
"633","D55",13
"634","D41",2
"634","D55",19
"635","D41",10
"635","D55",14
"636","D41",20
"636","D54",4
"636","D55",15
"637","D41",31
"637","D54",7
"638","D41",20
"639","D41",8
"64","D22",16
"640","D41",15
"641","D41",62
"642","D41",60
"643","D41",27
"644","D41",11
"645","D41",36
"646","D41",17
"647","D41",40
"648","D41",85
"649","D41",3
"649","D42",18
"65","D23",41
"650","D42",33
"651","D42",21
"652","D42",16
"653","D42",16
"654","D42",21
"655","D42",20
"656","D42",34
"657","D42",21
"658","D41",11
"659","D41",3
"66","D23",33
"660","D41",9
"661","D41",24
"662","D41",20
"663","D41",25
"664","D41",13
"665","D41",7
"666","D41",20
"667","D41",18
"668","D41",9
"669","D41",52
"67","D23",45
"670","D41",25
