"premisetype","offence","occurrenceyear","occurrencemonth","occurrenceday","occurrencedayofyear","occurrencedayofweek","occurrencehour","Division","Hood_ID","Neighbourhood","Lat","Long","occurrence_ts","weather","hmdx","hmdx_flag","pressure","pressure_flag","rel_hum","rel_hum_flag","temp","temp_dew","temp_dew_flag","temp_flag","visib","visib_flag","wind_chill","wind_chill_flag","wind_dir","wind_dir_flag","wind_spd","wind_spd_flag","annual_growth_rate","current_ppl","current_children_ppl","current_youth_ppl","current_working_ppl","current_pre_retirement_ppl","current_seniors_ppl","current_older_ppl"
"Commercial","Theft Of Motor Vehicle",2016,1,3,3,"Sunday",17,"D22",11,"Eringate-Centennial-West Deane (11)",43.6550484,-79.5724411,2016-01-03 17:00:00,NA,NA,NA,100.07,NA,67,NA,-3,-8.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.012,18588,2635,2405,6910,2855,3765,565
"House","Theft Of Motor Vehicle",2016,1,3,3,"Sunday",17,"D22",9,"Edenbridge-Humber Valley (9)",43.6823158,-79.5188446,2016-01-03 17:00:00,NA,NA,NA,100.07,NA,67,NA,-3,-8.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.04,15535,2120,1805,5940,2385,3290,665
"Outside","Theft Of Motor Vehicle",2016,1,3,3,"Sunday",17,"D32",41,"Bridle Path-Sunnybrook-York Mills (41)",43.7475739,-79.3863983,2016-01-03 17:20:00,NA,NA,NA,100.07,NA,67,NA,-3,-8.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.063,9266,1435,1425,3090,1525,1785,245
"Apartment","Theft Of Motor Vehicle",2016,1,3,3,"Sunday",18,"D43",138,"Eglinton East (138)",43.7416115,-79.2326126,2016-01-03 18:30:00,NA,NA,NA,100.21,NA,66,NA,-4.4,-9.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.002,22776,4180,3130,9180,2825,3505,560
"Outside","Theft Of Motor Vehicle",2016,1,3,3,"Sunday",18,"D53",99,"Mount Pleasant East (99)",43.7051811,-79.3889313,2016-01-03 18:45:00,NA,NA,NA,100.21,NA,66,NA,-4.4,-9.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.05,16775,2980,1705,7620,2020,2455,260
"Outside","Theft Of Motor Vehicle",2016,1,3,3,"Sunday",19,"D31",25,"Glenfield-Jane Heights (25)",43.7394943,-79.5205688,2016-01-03 19:00:00,NA,NA,NA,100.3,NA,70,NA,-4.9,-9.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.029,30491,5790,4520,11590,3605,5005,700
"Outside","Theft Of Motor Vehicle",2016,1,3,3,"Sunday",19,"D52",76,"Bay Street Corridor (76)",43.664978,-79.3874435,2016-01-03 19:00:00,NA,NA,NA,100.3,NA,70,NA,-4.9,-9.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.333,25797,1695,6860,13065,1760,2420,330
"Outside","Theft Of Motor Vehicle",2016,1,3,3,"Sunday",19,"D23",2,"Mount Olive-Silverstone-Jamestown (2)",43.7442894,-79.5953674,2016-01-03 19:30:00,NA,NA,NA,100.3,NA,70,NA,-4.9,-9.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.005,32954,7090,5240,13615,3475,3560,300
"Outside","Theft Of Motor Vehicle",2016,1,3,3,"Sunday",20,"D23",1,"West Humber-Clairville (1)",43.7106895,-79.6113205,2016-01-03 20:00:00,NA,NA,NA,100.43,NA,70,NA,-5.8,-10.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,33312,5060,5445,13845,3990,4980,615
"House","Theft Of Motor Vehicle",2016,1,4,4,"Monday",4,"D55",65,"Greenwood-Coxwell (65)",43.6742897,-79.3238983,2016-01-04 04:00:00,NA,NA,NA,100.87,NA,65,NA,-12.3,-17.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.024,14417,2460,1305,7240,1765,1640,200
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",6,"D41",121,"Oakridge (121)",43.6990395,-79.2782669,2016-01-04 06:30:00,NA,NA,NA,101.06,NA,62,NA,-13.3,-19,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.026,13845,2865,1680,6050,1595,1655,255
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",14,"D23",1,"West Humber-Clairville (1)",43.7106895,-79.6113205,2016-01-04 14:20:00,NA,NA,NA,101.67,NA,43,NA,-10.7,-20.9,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,33312,5060,5445,13845,3990,4980,615
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",16,"D23",2,"Mount Olive-Silverstone-Jamestown (2)",43.7584648,-79.5893555,2016-01-04 16:00:00,NA,NA,NA,101.83,NA,54,NA,-11.2,-18.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.005,32954,7090,5240,13615,3475,3560,300
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",18,"D22",17,"Mimico (includes Humber Bay Shores) (17)",43.6149521,-79.4886627,2016-01-04 18:00:00,NA,NA,NA,101.98,NA,55,NA,-11.7,-18.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.28,33964,3505,3010,17695,4620,5160,565
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",19,"D22",17,"Mimico (includes Humber Bay Shores) (17)",43.6098061,-79.5010529,2016-01-04 19:30:00,NA,NA,NA,102.05,NA,53,NA,-11.9,-19.6,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.28,33964,3505,3010,17695,4620,5160,565
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",21,"D22",14,"Islington-City Centre West (14)",43.6142197,-79.5561523,2016-01-04 21:03:00,NA,NA,NA,102.17,NA,56,NA,-12.1,-19.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.154,43965,5820,4695,20640,5400,7405,1480
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",21,"D33",43,"Victoria Village (43)",43.73909,-79.3100662,2016-01-04 21:30:00,NA,NA,NA,102.17,NA,56,NA,-12.1,-19.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.019,17510,2630,2030,7170,2270,3405,570
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",22,"D23",1,"West Humber-Clairville (1)",43.7010803,-79.5951767,2016-01-04 22:00:00,NA,NA,NA,102.24,NA,56,NA,-12,-18.9,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,33312,5060,5445,13845,3990,4980,615
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",22,"D13",109,"Caledonia-Fairbank (109)",43.6877136,-79.4488983,2016-01-04 22:30:00,NA,NA,NA,102.24,NA,56,NA,-12,-18.9,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.011,9955,1490,1220,4570,1350,1325,165
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",23,"D32",35,"Westminster-Branson (35)",43.7890816,-79.4465332,2016-01-04 23:00:00,NA,NA,NA,102.25,NA,61,NA,-12.2,-18.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.033,26274,3440,3355,10865,3500,5130,1000
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",23,"D31",27,"York University Heights (27)",43.7680054,-79.4955063,2016-01-04 23:30:00,NA,NA,NA,102.25,NA,61,NA,-12.2,-18.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.004,27593,4045,4750,12290,2965,3530,400
"Outside","Theft Of Motor Vehicle",2016,1,4,4,"Monday",23,"D55",64,"Woodbine Corridor (64)",43.6807938,-79.3107529,2016-01-04 23:43:00,NA,NA,NA,102.25,NA,61,NA,-12.2,-18.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.072,12541,2325,1035,6165,1625,1380,170
"Outside","Theft Of Motor Vehicle",2016,1,5,5,"Tuesday",9,"D33",48,"Hillcrest Village (48)",43.7936325,-79.350441,2016-01-05 09:40:00,NA,NA,NA,102.25,NA,61,NA,-12.2,-18.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.041,16934,2115,2170,6060,2265,4305,630
"Outside","Theft Of Motor Vehicle",2016,1,5,5,"Tuesday",11,"D43",127,"Bendale (127)",43.7736168,-79.2611313,2016-01-05 11:30:00,NA,NA,NA,102.41,NA,52,NA,-7.2,-15.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.075,29960,4550,4605,12050,3535,5250,900
