"premisetype","offence","occurrenceyear","occurrencemonth","occurrenceday","occurrencedayofyear","occurrencedayofweek","occurrencehour","Division","Hood_ID","Neighbourhood","Lat","Long","occurrence_ts","weather","hmdx","hmdx_flag","pressure","pressure_flag","rel_hum","rel_hum_flag","temp","temp_dew","temp_dew_flag","temp_flag","visib","visib_flag","wind_chill","wind_chill_flag","wind_dir","wind_dir_flag","wind_spd","wind_spd_flag","annual_growth_rate","current_ppl","current_children_ppl","current_youth_ppl","current_working_ppl","current_pre_retirement_ppl","current_seniors_ppl","current_older_ppl"
"Outside","Theft Of Motor Vehicle",2017,4,22,112,"Saturday",0,"D42",130,"Milliken (130)",43.8252144,-79.2731781,2017-04-22 00:01:00,NA,25,NA,100.25,"M",70,NA,7.1,2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.022,25987.416,3594.15,3124.71,10332.57,3941.34,5002.47,860.64
"House","Theft Of Motor Vehicle",2017,4,22,112,"Saturday",3,"D33",40,"St.Andrew-Windfields (40)",43.7567406,-79.3802643,2017-04-22 03:02:00,NA,25,NA,100.22,"M",79,NA,6.1,2.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.008,17669.504,2623.84,2519.68,6745.6,2604,3209.12,406.72
"Commercial","Theft Of Motor Vehicle",2017,4,22,112,"Saturday",7,"D51",75,"Church-Yonge Corridor (75)",43.6694145,-79.3824921,2017-04-22 07:00:00,NA,25,NA,100.38,"M",69,NA,5.6,0.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.106,34662.04,1393.56,5596.36,20770.68,3577.91,3329.06,276.5
"House","Theft Of Motor Vehicle",2017,4,22,112,"Saturday",7,"D32",32,"Englemount-Lawrence (32)",43.7240753,-79.433876,2017-04-22 07:30:00,NA,25,NA,100.38,"M",69,NA,5.6,0.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.013,22662.836,4867.465,3069.39,8494.005,2461.59,3773.425,967.415
"Outside","Theft Of Motor Vehicle",2017,4,22,112,"Saturday",11,"D14",85,"South Parkdale (85)",43.6389618,-79.4273758,2017-04-22 11:00:00,NA,25,NA,100.48,"M",52,NA,9.8,0.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.028,22460.772,2174.22,2338.7,12788.32,2544.3,2611.12,370.08
"House","Theft Of Motor Vehicle",2017,4,22,112,"Saturday",16,"D43",134,"Highland Creek (134)",43.7917404,-79.1667252,2017-04-22 16:00:00,NA,25,NA,100.41,"M",52,NA,11.3,1.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.046,11919.276,1473.93,1836.45,4407.48,1927.08,2284.83,181.26
"House","Theft Of Motor Vehicle",2017,4,23,113,"Sunday",0,"D23",1,"West Humber-Clairville (1)",43.7197075,-79.6184311,2017-04-23 00:01:00,NA,25,NA,100.59,"M",42,NA,8.3,-3.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,32545.824,4943.62,5319.765,13526.565,3898.23,4865.46,600.855
"Outside","Theft Of Motor Vehicle",2017,4,23,113,"Sunday",4,"D12",111,"Rockcliffe-Smythe (111)",43.6716728,-79.4937515,2017-04-23 04:00:00,NA,25,NA,100.5,"M",58,NA,5.2,-2.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.001,22223.754,3501.495,2737.26,9245.745,3086.91,3651.345,479.52
"House","Theft Of Motor Vehicle",2017,4,23,113,"Sunday",17,"D42",130,"Milliken (130)",43.8277702,-79.2829208,2017-04-23 17:00:00,NA,25,NA,100.27,"M",42,NA,16.4,3.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.022,25987.416,3594.15,3124.71,10332.57,3941.34,5002.47,860.64
"House","Theft Of Motor Vehicle",2017,4,23,113,"Sunday",17,"D32",105,"Lawrence Park North (105)",43.7244644,-79.4090729,2017-04-23 17:00:00,NA,25,NA,100.27,"M",42,NA,16.4,3.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.005,14680.035,3296.4,1678.35,6009.9,1733.625,1944.675,266.325
"Outside","Theft Of Motor Vehicle",2017,4,23,113,"Sunday",18,"D55",62,"East End-Danforth (62)",43.6847382,-79.2877884,2017-04-23 18:35:00,NA,25,NA,100.3,"M",43,NA,15.7,3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.026,21936.906,3832.11,2267.46,10249.74,2877.93,2718.9,318.06
"House","Theft Of Motor Vehicle",2017,4,23,113,"Sunday",19,"D23",1,"West Humber-Clairville (1)",43.7314148,-79.5774384,2017-04-23 19:30:00,NA,25,NA,100.34,"M",47,NA,13.7,2.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,32545.824,4943.62,5319.765,13526.565,3898.23,4865.46,600.855
"Outside","Theft Of Motor Vehicle",2017,4,23,113,"Sunday",20,"D33",46,"Pleasant View (46)",43.7746696,-79.3266983,2017-04-23 20:30:00,NA,25,NA,100.41,"M",50,NA,12.8,2.6,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.02,15501.64,2009,2038.4,6340.6,1979.6,3131.1,347.9
"Outside","Theft Of Motor Vehicle",2017,4,24,114,"Monday",1,"D23",1,"West Humber-Clairville (1)",43.7106895,-79.6113205,2017-04-24 01:00:00,NA,25,NA,100.53,"M",60,NA,9.6,2.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,32545.824,4943.62,5319.765,13526.565,3898.23,4865.46,600.855
"Outside","Theft Of Motor Vehicle",2017,4,24,114,"Monday",8,"D41",122,"Birchcliffe-Cliffside (122)",43.7063446,-79.2512894,2017-04-24 08:00:00,NA,25,NA,100.84,"M",70,NA,7.7,2.6,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.02,22736.82,3411.9,2488.8,9256.5,3590.4,3988.2,642.6
"Commercial","Theft Of Motor Vehicle",2017,4,24,114,"Monday",9,"D12",110,"Keelesdale-Eglinton West (110)",43.6867485,-79.4735794,2017-04-24 09:15:00,NA,25,NA,100.86,"M",59,NA,7.6,0,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.039,11489.262,1672.79,1485.77,4976.81,1490.965,1854.615,238.97
"Outside","Theft Of Motor Vehicle",2017,4,24,114,"Monday",13,"D43",137,"Woburn (137)",43.7581863,-79.233078,2017-04-24 13:15:00,NA,25,NA,100.77,"M",56,NA,9.7,1.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.003,53645.455,9653.875,7682.98,22010.835,6263.735,8034.03,1133.39
"Outside","Theft Of Motor Vehicle",2017,4,24,114,"Monday",14,"D31",25,"Glenfield-Jane Heights (25)",43.7507477,-79.5172653,2017-04-24 14:00:00,NA,25,NA,100.73,"M",49,NA,9.7,-0.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.029,29606.761,5622.09,4388.92,11253.89,3500.455,4859.855,679.7
"Outside","Theft Of Motor Vehicle",2017,4,24,114,"Monday",18,"D51",73,"Moss Park (73)",43.663208,-79.3675461,2017-04-24 18:00:00,NA,25,NA,100.48,"M",47,NA,9.7,-1.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.258,25796.548,1937.32,2591.48,15762.74,3138.71,2390.2,176.12
"Outside","Theft Of Motor Vehicle",2017,4,24,114,"Monday",18,"D31",24,"Black Creek (24)",43.7688293,-79.520401,2017-04-24 18:00:00,NA,25,NA,100.48,"M",47,NA,9.7,-1.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.015,21410.945,4531,3240.65,8397.125,2388.625,2826.95,364.45
"House","Theft Of Motor Vehicle",2017,4,24,114,"Monday",19,"D32",105,"Lawrence Park North (105)",43.7311516,-79.407547,2017-04-24 19:00:00,NA,25,NA,100.45,"M",53,NA,9.1,-0.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.005,14680.035,3296.4,1678.35,6009.9,1733.625,1944.675,266.325
"Outside","Theft Of Motor Vehicle",2017,4,24,114,"Monday",20,"D22",14,"Islington-City Centre West (14)",43.6204758,-79.5494156,2017-04-24 20:20:00,NA,25,NA,100.45,"M",57,NA,8.6,0.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.154,50735.61,6716.28,5418.03,23818.56,6231.6,8545.37,1707.92
"House","Theft Of Motor Vehicle",2017,4,24,114,"Monday",21,"D33",52,"Bayview Village (52)",43.7724838,-79.3719025,2017-04-24 21:30:00,NA,25,NA,100.48,"M",56,NA,9.1,0.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.211,25910.556,2924.565,3033.555,12485.41,3075.94,4377.765,738.71
"House","Theft Of Motor Vehicle",2017,4,24,114,"Monday",21,"D23",7,"Willowridge-Martingrove-Richview (7)",43.6843987,-79.5439301,2017-04-24 21:30:00,NA,25,NA,100.48,"M",56,NA,9.1,0.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.038,22997.928,3690.09,2724.75,8449.32,3015.39,5091.39,918.63
"House","Theft Of Motor Vehicle",2017,4,24,114,"Monday",23,"D13",107,"Oakwood Village (107)",43.6825256,-79.433609,2017-04-24 23:00:00,NA,25,NA,100.47,"M",62,NA,8.2,1.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.007,21358.47,3151.91,2290.925,9601.745,2608.13,3725.9,543.78
"Apartment","Theft Of Motor Vehicle",2017,4,24,114,"Monday",23,"D14",95,"Annex (95)",43.6682053,-79.407486,2017-04-24 23:00:00,NA,25,NA,100.47,"M",62,NA,8.2,1.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.046,31930.196,2468.56,3922.5,15731.84,3640.08,6181.86,1087.84
"Outside","Theft Of Motor Vehicle",2017,4,24,114,"Monday",23,"D41",121,"Oakridge (121)",43.6932449,-79.2872391,2017-04-24 23:00:00,NA,25,NA,100.47,"M",62,NA,8.2,1.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.026,14204.97,2939.49,1723.68,6207.3,1636.47,1698.03,261.63
"House","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",2,"D32",51,"Willowdale East (51)",43.7720795,-79.4002228,2017-04-25 02:00:00,NA,25,NA,100.3,"M",66,NA,7.1,1.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.12,56486.08,6630.4,7772.8,28952,6115.2,7022.4,929.6
"House","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",7,"D31",23,"Pelmo Park-Humberlea (23)",43.7166672,-79.5330124,2017-04-25 07:20:00,NA,25,NA,100.38,"M",66,NA,7.4,1.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.231,13198.782,2148.095,1686.47,5717.995,1711.09,1957.29,252.355
"Outside","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",8,"D32",41,"Bridle Path-Sunnybrook-York Mills (41)",43.7403793,-79.4059143,2017-04-25 08:20:00,NA,25,NA,100.35,"M",87,NA,5.2,3.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.063,9849.758,1525.405,1514.775,3284.67,1621.075,1897.455,260.435
"Commercial","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",12,"D22",14,"Islington-City Centre West (14)",43.636097,-79.5302353,2017-04-25 12:00:00,NA,25,NA,100.19,"M",92,NA,7.5,6.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.154,50735.61,6716.28,5418.03,23818.56,6231.6,8545.37,1707.92
"House","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",19,"D42",131,"Rouge (131)",43.8210297,-79.2243652,2017-04-25 19:00:00,NA,25,NA,99.82,"M",81,NA,10.5,7.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.013,47100.448,8063.48,6787.1,18750.63,6776.97,6711.125,693.905
"Outside","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",20,"D32",51,"Willowdale East (51)",43.7738495,-79.4095383,2017-04-25 20:30:00,NA,25,NA,99.8,"M",80,NA,10.8,7.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.12,56486.08,6630.4,7772.8,28952,6115.2,7022.4,929.6
"Outside","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",21,"D14",84,"Little Portugal (84)",43.651516,-79.42659,2017-04-25 21:00:00,NA,25,NA,99.8,"M",81,NA,10.6,7.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.291,20086.669,1807.4,2072.055,12116.035,1710.575,2394.805,329.205
"Outside","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",21,"D23",4,"Rexdale-Kipling (4)",43.721489,-79.558136,2017-04-25 21:00:00,NA,25,NA,99.8,"M",81,NA,10.6,7.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.004,10571.116,1646.56,1360.42,4317.2,1526.08,1736.92,301.2
"House","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",22,"D23",7,"Willowridge-Martingrove-Richview (7)",43.6908188,-79.5660172,2017-04-25 22:00:00,NA,25,NA,99.75,"M",81,NA,10.3,7.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.038,22997.928,3690.09,2724.75,8449.32,3015.39,5091.39,918.63
"House","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",22,"D42",130,"Milliken (130)",43.8205795,-79.2919006,2017-04-25 22:30:00,NA,25,NA,99.75,"M",81,NA,10.3,7.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.022,25987.416,3594.15,3124.71,10332.57,3941.34,5002.47,860.64
"Outside","Theft Of Motor Vehicle",2017,4,25,115,"Tuesday",22,"D33",53,"Henry Farm (53)",43.773571,-79.3445892,2017-04-25 22:30:00,NA,25,NA,99.75,"M",81,NA,10.3,7.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.387,21807.801,3474.435,3231.71,11158.415,1927.93,2025.02,187.245
"Outside","Theft Of Motor Vehicle",2017,4,26,116,"Wednesday",7,"D22",14,"Islington-City Centre West (14)",43.6385269,-79.5380096,2017-04-26 07:15:00,NA,25,NA,99.58,"M",85,NA,10,7.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.154,50735.61,6716.28,5418.03,23818.56,6231.6,8545.37,1707.92
"Outside","Theft Of Motor Vehicle",2017,4,26,116,"Wednesday",18,"D55",62,"East End-Danforth (62)",43.6876793,-79.3015976,2017-04-26 18:00:00,NA,25,NA,99.19,"M",77,NA,14,10,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.026,21936.906,3832.11,2267.46,10249.74,2877.93,2718.9,318.06
"Commercial","Theft Of Motor Vehicle",2017,4,26,116,"Wednesday",18,"D31",23,"Pelmo Park-Humberlea (23)",43.7170258,-79.5372925,2017-04-26 18:20:00,NA,25,NA,99.19,"M",77,NA,14,10,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.231,13198.782,2148.095,1686.47,5717.995,1711.09,1957.29,252.355
"House","Theft Of Motor Vehicle",2017,4,26,116,"Wednesday",19,"D23",4,"Rexdale-Kipling (4)",43.7197876,-79.5633698,2017-04-26 19:00:00,NA,25,NA,99.17,"M",79,NA,13.6,10.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.004,10571.116,1646.56,1360.42,4317.2,1526.08,1736.92,301.2
"Outside","Theft Of Motor Vehicle",2017,4,26,116,"Wednesday",21,"D43",127,"Bendale (127)",43.7736168,-79.2611313,2017-04-26 21:00:00,NA,25,NA,99.25,"M",79,NA,13.9,10.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.075,32207,4891.25,4950.375,12953.75,3800.125,5643.75,967.5
"Outside","Theft Of Motor Vehicle",2017,4,26,116,"Wednesday",23,"D23",2,"Mount Olive-Silverstone-Jamestown (2)",43.7463188,-79.5881653,2017-04-26 23:00:00,NA,25,NA,99.17,"M",77,NA,15,11.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.005,33118.77,7125.45,5266.2,13683.075,3492.375,3577.8,301.5
"House","Theft Of Motor Vehicle",2017,4,26,116,"Wednesday",23,"D32",39,"Bedford Park-Nortown (39)",43.7363281,-79.4222565,2017-04-26 23:00:00,NA,25,NA,99.17,"M",77,NA,15,11.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.002,23282.472,4564.11,3216.42,8426.82,3081.15,3987.96,661.32
"Outside","Theft Of Motor Vehicle",2017,4,27,117,"Thursday",4,"D33",52,"Bayview Village (52)",43.7900162,-79.3680649,2017-04-27 04:00:00,NA,25,NA,99.08,"M",87,NA,10.7,8.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.211,25910.556,2924.565,3033.555,12485.41,3075.94,4377.765,738.71
"House","Theft Of Motor Vehicle",2017,4,27,117,"Thursday",7,"D31",27,"York University Heights (27)",43.7590561,-79.4919739,2017-04-27 07:35:00,NA,25,NA,99.12,"M",81,NA,13.9,10.6,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.004,27482.628,4028.82,4731,12240.84,2953.14,3515.88,398.4
"Outside","Theft Of Motor Vehicle",2017,4,27,117,"Thursday",11,"D12",112,"Beechborough-Greenbrook (112)",43.6934128,-79.4832687,2017-04-27 11:00:00,NA,25,NA,99.05,"M",59,NA,20.6,12.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.014,6669.078,1135.68,866.97,2788.5,897.39,978.51,147.03
"Outside","Theft Of Motor Vehicle",2017,4,27,117,"Thursday",12,"D13",94,"Wychwood (94)",43.676178,-79.4345169,2017-04-27 12:00:00,NA,25,NA,98.96,"M",59,NA,21.4,13.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.026,14722.074,1908.36,1354.32,6586.92,1636.47,3231.9,902.88
"Outside","Theft Of Motor Vehicle",2017,4,27,117,"Thursday",16,"D12",23,"Pelmo Park-Humberlea (23)",43.7096863,-79.5345993,2017-04-27 16:40:00,NA,26,NA,98.58,"M",56,NA,22.7,13.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.231,13198.782,2148.095,1686.47,5717.995,1711.09,1957.29,252.355
"Outside","Theft Of Motor Vehicle",2017,4,27,117,"Thursday",17,"D31",22,"Humbermede (22)",43.7509613,-79.5411224,2017-04-27 17:30:00,NA,26,NA,98.6,"M",55,NA,22.9,13.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.019,15249.645,2889.045,2182.725,6322.545,1726.56,2118.96,255.06
"House","Theft Of Motor Vehicle",2017,4,27,117,"Thursday",21,"D42",129,"Agincourt North (129)",43.8051376,-79.2653275,2017-04-27 21:30:00,NA,26,NA,99.04,"M",88,NA,14.7,12.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.039,27977.593,3690.24,3560.505,10864.105,4065.03,5809.245,888.925
"House","Theft Of Motor Vehicle",2017,4,27,117,"Thursday",22,"D32",105,"Lawrence Park North (105)",43.7347488,-79.4126053,2017-04-27 22:00:00,NA,26,NA,99.14,"M",86,NA,12.5,10.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.005,14680.035,3296.4,1678.35,6009.9,1733.625,1944.675,266.325
"Outside","Theft Of Motor Vehicle",2017,4,27,117,"Thursday",22,"D22",16,"Stonegate-Queensway (16)",43.6450958,-79.5128708,2017-04-27 22:00:00,NA,26,NA,99.14,"M",86,NA,12.5,10.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.015,25426.765,4120.9,2532.425,10819.9,3714.9,4227.475,761.25
"House","Theft Of Motor Vehicle",2017,4,27,117,"Thursday",23,"D22",15,"Kingsway South (15)",43.6582375,-79.5137939,2017-04-27 23:30:00,NA,26,NA,99.28,"M",85,NA,11.6,9.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.011,9372.981,1597.38,1112.1,3280.695,1359.795,2016.945,328.575
"Outside","Theft Of Motor Vehicle",2017,4,28,118,"Friday",0,"D12",23,"Pelmo Park-Humberlea (23)",43.7152748,-79.5108109,2017-04-28 00:05:00,NA,26,NA,99.45,"M",73,NA,13.7,9,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.231,13198.782,2148.095,1686.47,5717.995,1711.09,1957.29,252.355
"Outside","Theft Of Motor Vehicle",2017,4,28,118,"Friday",6,"D55",64,"Woodbine Corridor (64)",43.6840858,-79.3202057,2017-04-28 06:40:00,NA,26,NA,100,"M",64,NA,10.7,4.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.072,13443.952,2492.4,1109.52,6608.88,1742,1479.36,182.24
"Outside","Theft Of Motor Vehicle",2017,4,28,118,"Friday",18,"D23",1,"West Humber-Clairville (1)",43.7420883,-79.6260757,2017-04-28 18:30:00,NA,26,NA,100.14,"M",35,NA,17.7,2.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,32545.824,4943.62,5319.765,13526.565,3898.23,4865.46,600.855
"Outside","Theft Of Motor Vehicle",2017,4,28,118,"Friday",19,"D33",42,"Banbury-Don Mills (42)",43.7266464,-79.3275604,2017-04-28 19:30:00,NA,26,NA,100.07,"M",45,NA,16.6,4.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.029,28498.155,3709.545,2809.17,11123.49,3658.095,7177.275,1687.56
"House","Theft Of Motor Vehicle",2017,4,28,118,"Friday",20,"D31",21,"Humber Summit (21)",43.754631,-79.5625458,2017-04-28 20:30:00,NA,26,NA,100.13,"M",50,NA,16,5.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.009,12304.256,2135.605,1704.52,4811.305,1303.165,2358.58,257.66
"House","Theft Of Motor Vehicle",2017,4,28,118,"Friday",22,"D32",33,"Clanton Park (33)",43.7405014,-79.440094,2017-04-28 22:00:00,NA,26,NA,100.06,"M",68,NA,12.3,6.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.127,18563.944,3116.155,2152.57,8418.69,2180.745,2676.625,450.8
"House","Theft Of Motor Vehicle",2017,4,28,118,"Friday",23,"D42",130,"Milliken (130)",43.8215485,-79.2660751,2017-04-28 23:30:00,NA,26,NA,100.12,"M",68,NA,12.1,6.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.022,25987.416,3594.15,3124.71,10332.57,3941.34,5002.47,860.64
"Outside","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",3,"D23",1,"West Humber-Clairville (1)",43.7396431,-79.6031952,2017-04-29 03:57:00,NA,26,NA,100.11,"M",63,NA,14,7.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,32545.824,4943.62,5319.765,13526.565,3898.23,4865.46,600.855
"Outside","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",7,"D42",129,"Agincourt North (129)",43.8080292,-79.2665024,2017-04-29 07:30:00,NA,26,NA,100.42,"M",56,NA,7.3,-0.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.039,27977.593,3690.24,3560.505,10864.105,4065.03,5809.245,888.925
"Commercial","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",9,"D14",95,"Annex (95)",43.6739769,-79.4105148,2017-04-29 09:00:00,NA,26,NA,100.62,"M",55,NA,8.5,0.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.046,31930.196,2468.56,3922.5,15731.84,3640.08,6181.86,1087.84
"House","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",12,"D23",6,"Kingsview Village-The Westway (6)",43.6986084,-79.5370178,2017-04-29 12:28:00,NA,26,NA,100.61,"M",49,NA,12.5,2.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.013,22286,4295.12,3059.26,8747.255,2583.15,3631.605,582.475
"Outside","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",13,"D31",26,"Downsview-Roding-CFB (26)",43.7255173,-79.5132065,2017-04-29 13:00:00,NA,26,NA,100.68,"M",45,NA,14.7,2.9,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.011,35437.572,5787.975,4387.74,15210.495,4428.18,5595.885,879.57
"Outside","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",14,"D33",42,"Banbury-Don Mills (42)",43.7171021,-79.3499756,2017-04-29 14:00:00,NA,26,NA,100.81,"M",49,NA,12.3,1.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.029,28498.155,3709.545,2809.17,11123.49,3658.095,7177.275,1687.56
"Outside","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",21,"D43",139,"Scarborough Village (139)",43.7451057,-79.2197266,2017-04-29 21:30:00,NA,26,NA,101.12,"M",46,NA,8.3,-2.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.007,16841.068,3388.555,2376.52,6731.795,2109.665,2240.575,433.01
"Outside","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",21,"D12",110,"Keelesdale-Eglinton West (110)",43.682312,-79.4654617,2017-04-29 21:30:00,NA,26,NA,101.12,"M",46,NA,8.3,-2.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.039,11489.262,1672.79,1485.77,4976.81,1490.965,1854.615,238.97
"House","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",22,"D33",48,"Hillcrest Village (48)",43.8026428,-79.3524628,2017-04-29 22:00:00,NA,26,NA,101.06,"M",47,NA,8.2,-2.6,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.041,16239.706,2028.285,2081.03,5811.54,2172.135,4128.495,604.17
"House","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",23,"D42",116,"Steeles (116)",43.8097153,-79.3140793,2017-04-29 23:00:00,NA,26,NA,101.12,"M",46,NA,8.9,-2.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.016,24229.032,3099.6,2642.04,9348,3458.76,5662.92,939.72
"Outside","Theft Of Motor Vehicle",2017,4,29,119,"Saturday",23,"D14",81,"Trinity-Bellwoods (81)",43.6562309,-79.4089584,2017-04-29 23:00:00,NA,26,NA,101.12,"M",46,NA,8.9,-2.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.015,16307.66,1718.825,1605.55,9071.85,1600.625,2314.75,325.05
"Outside","Theft Of Motor Vehicle",2017,4,30,120,"Sunday",0,"D31",21,"Humber Summit (21)",43.7533379,-79.5427094,2017-04-30 00:15:00,NA,26,NA,101.06,"M",48,NA,8.6,-1.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.009,12304.256,2135.605,1704.52,4811.305,1303.165,2358.58,257.66
"House","Theft Of Motor Vehicle",2017,4,30,120,"Sunday",2,"D33",48,"Hillcrest Village (48)",43.8010864,-79.3514481,2017-04-30 02:00:00,NA,26,NA,100.95,"M",52,NA,8.4,-0.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.041,16239.706,2028.285,2081.03,5811.54,2172.135,4128.495,604.17
"Outside","Theft Of Motor Vehicle",2017,4,30,120,"Sunday",8,"D51",72,"Regent Park (72)",43.6600876,-79.362999,2017-04-30 08:00:00,NA,26,NA,100.9,"M",69,NA,4.7,-0.5,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.08,11667.24,1765.8,1917,6021,1188,788.4,54
"Outside","Theft Of Motor Vehicle",2017,4,30,120,"Sunday",9,"D32",40,"St.Andrew-Windfields (40)",43.759922,-79.3892441,2017-04-30 09:00:00,NA,26,NA,100.97,"M",70,NA,4.7,-0.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.008,17669.504,2623.84,2519.68,6745.6,2604,3209.12,406.72
